,,Spelling Error Legend:,Needs !? or .,Double blanks,Double blank?,"and and, the the"
info_ui_tooltip_ping_cost,[OUTDATED]This indicates the cost of a Ping.,,,,,
info_ui_tooltip_miner_recruitment_queue,[OUTDATED]This shows the current queue of Miners. Only one will be produced at a time.,,,,,
info_ui_tooltip_upgrade_cost,Здесь показана стоимость Улучшения.,,,,,
info_ui_tooltip_fertility_explanation,"Это показывает Производительность территории где перерабатывающий завод расположен.<br>Чем выше процент, тем эффективнее будет работать перерабатывающий завод.",,,,,
info_ui_tooltip_item_inventory,"Здесь вы можете увидеть все ваши экипированные предметы.<br>Предметы дают вам определенные преимущества, такие как: увеличение скорости производства, увеличение отсеков для доставки на складах и т.д.<br>Для достижения максимальной производительности обязательно вставляйте предметы с помощью инструмента для Предметов.",,,,,
info_ui_tooltip_plant_fields,Поля должны быть расположены рядом со зданием фермы.,,,,,
info_ui_tooltip_destroy_fields_tooltip,Уничтожьте Поля,,,,,
info_ui_tooltip_field_amount,Текущее число Полей.,,,,,
info_ui_tooltip_train_station_repair,"Если мы отремонтируем железнодорожную станцию, то поезда начнут прибывать в город. <br>Это позволит нам торговать ресурсами, а также приобретать предметы для модернизации наших зданий.",,,,,
info_ui_tooltip_repair_cost,[OUTDATED]The amount of resources we need to pay to Repair this Building.,,,,,
info_ui_tooltip_game_speed_pause,Пауза,,,,,
info_ui_tooltip_game_speed_1,Нормально,,,,,
info_ui_tooltip_game_speed_2,Быстро,,,,,
info_ui_tooltip_game_speed_3,[OUTDATED]Fast,,,,,
info_ui_tooltip_surveillance_ping_button,Показывает точки интереса в шахте. Расширьте диапазона импульсов с помощью радаров.,,,,,
info_ui_tooltip_steam_pipe_tool,[OUTDATED]Steam Pipe Tool,,,,,
info_ui_tooltip_item_tool,Инструмент для предметов,,,,,
info_ui_tooltip_conveyor_belt_tool,Конвейерная лента,,,,,
,,,,,,
info_ui_tooltip_destroy_tooltip,Нажмите чтобы уничтожить структуру!,,,,,
info_ui_tooltip_console_destroy_tooltip,Нажмите {HotkeySouth} чтобы уничтожить структуру!,,,,,
info_ui_tooltip_destroy_room_tooltip,Нажмите чтобы уничтожить плитку комнаты!,,,,,
info_ui_tooltip_console_destroy_room_tooltip,Нажмите {HotkeySouth} чтобы уничтожить плитку комнаты!,,,,,
,,,,,,
info_ui_tooltip_marked_for_dig,Плитка в настоящее время отмеченна для раскопок,,,,,
info_ui_tooltip_granite_is_not_ready_to_dig,Для раскопки гранита нужны твердосплавные сверла!,,,,,
info_ui_tooltip_oil_sand_is_not_ready_to_dig,Для добычи этого ресурса вам нужен добытчик нефтяного песка.,,,,,
info_ui_tooltip_dirty_water_is_not_ready_to_dig,Для добычи этого ресурса вам нужен добытчик грязной воды.,,,,,
info_ui_tooltip_is_not_ready_to_dig,Вам нужны кирки чтобы копать песчаник!,,,,,
info_ui_tooltip_need_extractor,Для добычи этого ресурса вам нужен Добытчик.,,,,,
info_ui_tooltip_cant_mine,Вы не сможете прокопать эту плитку.,,,,,
info_ui_tooltip_can't_reach,Невозможно достичь этой плитки!,,,,,
,,,,,,
info_ui_tooltip_use_instructions,Нажмите и перетащите чтобы построить!,,,,,
info_ui_tooltip_use_instructions_console,Зажмите {HotkeySouth} и перетащите чтобы построить!,,,,,
info_ui_tooltip_can_not_afford,Отсутствуют ресурсы для строительства:,,,,,
info_ui_tooltip_too_small,Помещение слишком маленькое для функционирования!,,,,,
info_ui_tooltip_no_valid_tiles,Нет допустимых плиток для строительства!,,,,,
info_ui_tooltip_room_area,Область,,,,,
info_ui_tooltip_room_efficiency,Эффективная площадь,,,,,
info_ui_tooltip_room_recruits,Рекруты,,,,,
info_ui_tooltip_no_fertile_soil,Нет плодородной почвы,,,,,
info_ui_tooltip_can_not_afford_min_size,Не можем позволить Минимальный Размер!,,,,,
info_ui_tooltip_expand_room,Расширить комнату,,,,,
info_ui_tooltip_merge_room,Слияние комнат,,,,,
info_ui_tooltip_new_room,Новая комната,,,,,
info_ui_tooltip_missing_resources_room,Недостаточно ресурсов!,,,,,
info_ui_tooltip_room_info,Информация о комнате:,,,,,
info_ui_tooltip_room_tiles_to_build,<color=#00FFF1><u>{0}</u></color> плиток к постройке,,,,,
info_ui_tooltip_teleporter_index_build,Телепорт,,,,,
,,,,,,
info_ui_train_station_repaired_msg,Железнодорожная Станция вновь функционирует!,,,,,
info_ui_train_station_reapair_cost,Стоимость ремонта,,,,,
info_ui_train_station_repair_requirements,Требуется,,,,,
info_ui_train_station_repair_button,Ремонт,,,,,
info_ui_warehouse_repair_trainstation_connection,Соединение к железнодорожной станции,,,,,
,,,,,,
info_ui,,,,,,
info_ui_broken_header,OUT OF ORDER,,,,,
info_ui_broken_desc,[OUTDATED]DUE TO INSTABILITY & CRACKS THIS BUILDING CAN'T FUNCTION.,,,,,
,,,,,,
info_ui_citizens_total,Всего:,,,,,
info_ui_citizens_available,Доступно Рабочих:,,,,,
,,,,,,
info_ui_factory_equipment_mods,Экипировка,,,,,
info_ui_factory_item_mods,Предметы модификации,,,,,
info_ui_factory_item_button,Редактировать,,,,,
info_ui_factory_operational_info,Оперативные сведенья,,,,,
info_ui_factory_production_time,Время производства,,,,,
info_ui_factory_input_storage,Входное хранилище,,,,,
info_ui_factory_output_storage,Выходное хранилище,,,,,
info_ui_factory_workers_header,Рабочие,,,,,
info_ui_factory_worker_slots,Рабочие места,,,,,
info_ui_factory_seconds_short,с,,,,,
info_ui_factory_steam_header,Паровые характеристики,,,,,
info_ui_factory_current_fertility,Текущая производительность: {0},,,,,
info_ui_factory_pause_production,Приостановить производство,,,,,
info_ui_factory_start_production,Начать производство,,,,,
